"address","total_borrow","count_borrow","avg_borrow_amount","std_borrow_amount","first_borrow_date","token_borrow_mode","borrow_amount_cv","total_repay","count_repay","avg_repay_amount","std_repay_amount","repay_amount_cv","total_deposit","count_deposit","avg_deposit_amount","std_deposit_amount","deposit_amount_cv","total_redeem","count_redeem","avg_redeem_amount","std_redeem_amount","redeem_amount_cv","total_liquidation","count_liquidation","avg_liquidation_amount","std_liquidation_amount","liquidation_amount_cv","days_since_first_borrow","net_outstanding","int_paid","net_deposits","count_repays_to_count_borrows","avg_repay_to_avg_borrow","net_outstanding_to_total_borrowed","net_outstanding_to_total_repaid","count_redeems_to_count_deposits","total_redeemed_to_total_deposits","avg_redeem_to_avg_deposit","net_deposits_to_total_deposits","net_deposits_to_total_redeemed","avg_liquidation_to_avg_borrow","dex_total_sum_added","dex_total_sum_removed","dex_total_sum_swapped","contrib_total","rank","eth_time_diff_between_first_and_last_days","eth_active_months","eth_max_days_delay_between_trx","eth_avg_days_delay_between_trx","eth_avg_minutes_delay_between_trx","eth_coef_activity","eth_total_number_of_transactions","eth_activity_pct_change_7_days","eth_activity_pct_change_14_days","eth_activity_pct_change_30_days","eth_activity_pct_change_60_days","eth_is_activity_increase","eth_count_of_contract","eth_avg_delay_days_between_contract","eth_coef_activity_contract","eth_total_contract_value","eth_avg_contract_value","eth_max_contract_value","eth_min_contract_value","eth_contract_value_pct_change_7_days","eth_contract_value_pct_change_14_days","eth_contract_value_pct_change_30_days","eth_contract_value_pct_change_60_days","eth_is_contract_value_increase","eth_count_of_receive","eth_count_unique_wallets_receive","eth_avg_delay_days_between_receive","eth_coef_activity_receive","eth_total_receive_value","eth_avg_receive_value","eth_max_receive_value","eth_min_receive_value","eth_receive_value_pct_change_7_days","eth_receive_value_pct_change_14_days","eth_receive_value_pct_change_30_days","eth_receive_value_pct_change_60_days","eth_is_receive_value_increase","eth_count_of_sent","eth_count_unique_wallets_send","eth_avg_days_delay_between_sent","eth_coef_activity_send","eth_total_sent_value","eth_avg_sent_value","eth_max_sent_value","eth_min_sent_value","eth_send_value_pct_change_7_days","eth_send_value_pct_change_14_days","eth_send_value_pct_change_30_days","eth_send_value_pct_change_60_days","eth_is_send_value_increase","activity_60_days","liquidated_60_days"
"0x003241b8f1f51d97561677be952fef8d90ea485f",7204.528377368165,39,184.73149685559397,159.5603298270721,2021-11-17,USDC,0.8637418769567035,6286.0594235099925,32,196.43935698468727,224.3724689804147,1.1421971259960135,51097.92288410276,128,399.2025225320528,647.389577634384,1.6217071313280684,11249.16324245123,46,244.54702700980934,329.09801929967387,1.345745328919795,985.1027054128369,3,328.3675684709456,111.64231683729315,0.3399919101547064,432,918.4689538581724,0.0,39848.75964165153,0.8205128205128205,1.0633777148368229,0.12748495192876064,0.14611203807954465,0.359375,0.22014912950504675,0.6125888821009996,0.7798508704949533,3.5423754445373623,1.777539694422728,0.0,0.0,0.0,0.0,0.0,629.0,13.0,165.0,7.0,1251.0,15.444444444444445,81.0,-14.3,-14.3,-14.3,-14.3,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,false,13.0,6.0,41.0,3.1538461538461537,1.0456614059916771,0.08043549276859055,0.233908,0.0,0.3,0.3,0.3,0.3,true,71.0,37.0,8.0,0.11267605633802817,1.6139432139175016,0.02273159456221833,0.3921846734024723,0.0,-1.0,-1.0,-1.0,-1.0,false,true,0
"0x00355d1905ae21620320317628272562aedc45fe",0.0,0,0.0,0.0,2023-03-24,"0",0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,false,,,,,,,,,,,,false,,,,,,,,,,,,,false,,,,,,,,,,,,,false,false,0
"0x0035baac6a91b16d12aa7f63153f3abe766fe7b6",38259.65626746952,5,7651.9312534939045,5860.397054067825,2021-11-24,WMATIC,0.7658716289945682,10014.135359484206,2,5007.067679742103,7078.913281621875,1.4137842215039693,138642.95853882434,23,6027.954719079319,7364.847111921251,1.2217820894723181,40419.551428773135,5,8083.910285754627,5431.992778159188,0.6719511456889103,0.0,0,0.0,0.0,0.0,425,28245.520907985316,0.0,98223.40711005121,0.4,0.6543534584757089,0.7382586166097164,2.820565120605694,0.21739130434782608,0.29153699441183234,1.3410701742944287,0.7084630055881677,2.4300964171544397,0.0,0.0,0.0,0.0,0.0,0.0,301.0,10.0,66.0,5.0,297.0,5.033898305084746,59.0,-5.9,-5.9,-5.9,-2.5,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,false,7.0,6.0,34.0,4.857142857142857,33.739815719999996,4.8199736742857135,8.10295843,0.0,-0.2,0.0,0.4,0.4,false,53.0,22.0,5.0,0.09433962264150944,58.94272246609475,1.1121268389829198,20.0,0.0,-1.0,-1.0,-1.0,-1.0,false,true,0
"0x0035ea81752aff17baadc87f3492792b6d8becf9",0.0,0,0.0,0.0,2023-03-24,"0",0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,false,,,,,,,,,,,,false,,,,,,,,,,,,,false,,,,,,,,,,,,,false,true,0
"0x0035fc5208ef989c28d47e552e92b0c507d2b318",295.5895866003327,2,147.79479330016636,70.57815910004877,2020-02-07,WETH,0.47754157994393515,100111.24461185386,3,33370.414870617955,57543.28757590817,1.7243803470532815,995.1546000000001,3,331.7182,206.28078225011657,0.621855485318914,1055.640825837,2,527.8204129185,77.17987490789214,0.14622374015650164,0.0,0,0.0,0.0,0.0,1081,0.0,99815.65502525354,-60.48622583699989,1.5,225.78883954892606,0.0,0.0,0.6666666666666666,1.0607807327997076,1.5911710991995613,-0.06078073279970759,-0.057298111589272206,0.0,0.0,0.0,0.0,0.0,0.0,2041.0,55.0,208.0,1.0,1060.0,0.9005947323704333,1177.0,-3.8,-3.8,-2.4,-1.2,false,7.0,91.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,227.0,125.0,8.0,0.03524229074889868,2321.1539424834104,10.225347764244098,493.90304755,0.0,-1.0,-1.0,-1.0,-1.0,false,978.0,203.0,2.0,0.002044989775051125,1576.8680425261562,1.6123395117854358,425.0,0.0,-1.0,-1.0,0.0,-0.6,false,true,0
"0x00360ae00d8b623660b817a1e6d64c4d54cd3f07",199.3946547838047,3,66.4648849279349,22.795273417310106,2022-04-06,DAI,0.3429671689347852,120.6879763572158,2,60.3439881786079,28.370560570557885,0.47014725786081407,876.5287137037154,15,58.4352475802477,41.61451392720361,0.7121474734928678,238.57280443238378,5,47.714560886476754,33.57067645699314,0.7035729939308261,0.0,0,0.0,0.0,0.0,292,78.7066784265889,0.0,637.9559092713316,0.6666666666666666,0.9079078109295813,0.39472812604694574,0.6521501213478844,0.3333333333333333,0.27217910914099985,0.8165373274229996,0.7278208908590001,2.6740512640959495,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,false,,,,,,,,,,,,false,,,,,,,,,,,,,false,,,,,,,,,,,,,false,true,1
"0x0036aa4cb362be6a39b484582306703af44fee8e",250271.5313810295,25,10010.86125524118,6849.940401131929,2022-09-21,wstETH,0.6842508577916459,247910.13079390474,22,11268.642308813853,7808.450617507143,0.692936238769395,646011.9957342915,41,15756.390139860769,9280.97914163817,0.5890295340021443,593254.8781659998,36,16479.30217127777,10378.379205644762,0.6297826872629064,0.0,0,0.0,0.0,0.0,124,2361.40058712475,0.0,52757.117568291724,0.88,1.1256416427621712,0.009435354369289417,0.009525228273498249,0.8780487804878049,0.9183341518166003,1.045880561791128,0.08166584818339973,0.08892824907126959,0.0,0.0,0.0,0.0,0.0,0.0,160.0,6.0,15.0,0.0,389.0,0.6526845637583892,596.0,-0.1,-1.1,-1.4,-1.3,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,false,596.0,4.0,0.0,0.0,134.78117733800002,0.22614291499664432,21.5837607,0.0,3.0,1.8,0.3,0.1,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,false,true,0
"0x0037df1ed3f3009ff623f281c4af66dc18266c2c",2075.531524604645,20,103.77657623023224,67.9212324195982,2022-02-04,USDC,0.6544948280902271,2032.56171590973,25,81.30246863638921,77.76480432340975,0.9564876150464627,7195.934249467013,46,156.43335324928287,180.76674978394038,1.1555512045815528,3062.1920817166065,15,204.1461387811071,298.8765077775965,1.4640321367922746,0.0,0,0.0,0.0,0.0,353,42.96980869491472,0.0,4133.742167750406,1.25,0.7834375693414343,0.020703038323207242,0.02114071536355902,0.32608695652173914,0.42554475562966915,1.3050039172643189,0.5744552443703309,1.349929089174938,0.0,0.0,0.0,0.0,0.0,0.0,667.0,14.0,127.0,12.0,1206.0,22.754716981132077,53.0,-0.5,-0.5,-0.5,-2.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,false,10.0,7.0,62.0,6.2,0.61138191938698,0.061138191938698,0.1977574,0.0,3.3,3.3,3.3,3.3,true,45.0,23.0,15.0,0.3333333333333333,0.5829998962052791,0.012955553249006203,0.19032132,0.0,-0.1,-0.1,-0.1,7.1,false,true,0
"0x0038af98d4c3f015f944155850adb56cd207c76b",1248060.799657952,30,41602.026655265065,37726.023776267095,2021-03-03,USDC,0.9068313928281321,1260095.9509777164,16,78755.99693610727,61604.024399098394,0.7822137588973214,6007882.739914763,41,146533.7253637747,113762.7625522906,0.7763589048860314,5020156.96068667,27,185931.73928469146,156572.8625305918,0.8420986278779091,0.0,0,0.0,0.0,0.0,691,0.0,12035.151319764322,987725.7792280931,0.5333333333333333,1.8930807767784572,0.0,0.0,0.6585365853658537,0.8355950303979957,1.2688665276414008,0.16440496960200435,0.1967519714947298,0.0,0.0,0.0,0.0,0.0,0.0,692.0,22.0,57.0,1.0,221.0,0.36772046589018303,601.0,-13.2,-13.2,-11.2,-8.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,false,42.0,6.0,15.0,0.35714285714285715,6.355174545603288,0.15131367965722115,1.0483,0.0,-0.8,-0.8,-0.8,-0.8,false,566.0,68.0,1.0,0.0017667844522968198,4.828477770100902,0.008530879452475092,1.225,0.0,-1.0,-1.0,-1.0,-0.9,false,true,0
"0x003a3eb1a1d2ad3bea19ae06324727beeeec2e34",0.024206785003516407,16,0.0015129240627197755,0.0019965176133779562,2022-10-31,DAI,1.3196416545777103,0.009010258249328863,2,0.004505129124664432,0.0007113068982197192,0.1578882377256393,0.16906714766989925,42,0.004025408277854744,0.004746734119107739,1.1791932125795226,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,84,0.015196526754187544,0.0,0.16906714766989925,0.125,0.45051291246644315,0.62777963913754,1.5196526754187545,0.0,0.0,0.0,1.0,0.16906714766989925,0.0,0.0,0.0,0.0,0.0,0.0,230.0,5.0,69.0,9.0,898.0,35.92,25.0,0.3,0.3,0.7,0.4,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,false,1.0,1.0,-1.0,-1.0,0.04,0.04,0.04,0.04,-1.0,-1.0,-1.0,-1.0,false,24.0,21.0,10.0,0.4166666666666667,0.0946037721400939,0.003941823839170579,0.07,0.0,0.6,0.6,30.7,26.8,true,true,0
